id,activity_name,domain,difficulty,goal,skills_targeted,materials,time_required_minutes,step_instructions,age_range,sensory_suitability,autism_level_suitability,environment_fit,cost_level,learning_style_fit
11,Cup Stacking (Fine Motor) - Practice bilateral coordination #47,Fine Motor,Moderate,Practice bilateral coordination,"tool use, hand-eye coordination","zipper pouch, coins, glue",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",3-4,Sensory-avoidant,Level 3 (high support),Outdoor friendly,No cost,Visual
12,Follow Directions (Speech) - Improve expressive vocabulary #207,Speech,Easy,Improve expressive vocabulary,"listening, speech production","spoon, rubber bands, rice or beans in a container",10,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",8-10,Neutral,Level 1 (mild support),Quiet environment,Low cost,Kinesthetic
13,Picture Naming (Speech) - Develop sentencebuilding skills #106,Speech,Easy,Develop sentence-building skills,"vocabulary, social communication","clothespins, notebook, soft toys, small toys",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Mixed,Level 1 (mild support),Outdoor friendly,No cost,Mixed
14,Trace & Copy (Writing) - Improve handwriting fluency #55,Writing,Challenging,Improve handwriting fluency,"fine motor precision, sentence building","markers, stickers, glue, pom-poms",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",3-4,Mixed,Level 1 (mild support),Quiet environment,No cost,Mixed
15,Shape Practice (Writing) - Improve spacing and #189,Writing,Moderate,Improve spacing and line awareness,"fine motor precision, letter formation","safe scissors, playdough",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Neutral,Level 2 (moderate support),Outdoor friendly,No cost,Kinesthetic
16,Trace & Copy (Writing) - Practice tracing shapes #148,Writing,Moderate,Practice tracing shapes and letters,"spacing, copying skills","stickers, glue",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",4-6,Neutral,Level 2 (moderate support),Outdoor friendly,No cost,Mixed
17,Playdough Press (Fine Motor) - Develop inhand manipulation #56,Fine Motor,Moderate,Develop in-hand manipulation,"grip strength, tool use","rice or beans in a container, small toys, safe scissors, notebook",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Sensory-avoidant,Level 1 (mild support),Outdoor friendly,No cost,Mixed
18,Heavy Work (Sensory) - Offer safe sensory #182,Sensory,Easy,Offer safe sensory exploration,"proprioception, sensory modulation","markers, blocks",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Sensory-avoidant,Level 3 (high support),Low materials / small space,No cost,Auditory
19,Sticker Pick-Up (Fine Motor) - Develop pincer grasp #110,Fine Motor,Easy,Develop pincer grasp,"dexterity, finger isolation","glue, coins",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",3-4,Neutral,Level 3 (high support),Quiet environment,No cost,Mixed
20,Heavy Work (Sensory) - Support transition to #216,Sensory,Challenging,Support transition to new activities,"self-regulation, body awareness","soft toys, flashcards, ball",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Mixed,Level 1 (mild support),Low materials / small space,Low cost,Mixed
21,Letter Hunt (Writing) - Practice copying from #137,Writing,Challenging,Practice copying from a model,"fine motor precision, copying skills","soft toys, crayons, plastic cups",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Neutral,Level 1 (mild support),Low materials / small space,Low cost,Kinesthetic
22,Threading (Fine Motor) - Improve writing readiness #190,Fine Motor,Easy,Improve writing readiness,"bilateral coordination, hand-eye coordination","tape on floor, playdough",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",8-10,Neutral,Level 1 (mild support),Group setting possible,No cost,Kinesthetic
23,WH-Question Quiz (Speech) - Support sound articulation #147,Speech,Easy,Support sound articulation,"vocabulary, listening","picture cards, pillow, markers",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Neutral,Level 2 (moderate support),Quiet environment,No cost,Mixed
24,Shape Practice (Writing) - Practice copying from #37,Writing,Challenging,Practice copying from a model,"spacing, visual-motor integration","glue, spoon, pom-poms, safe scissors",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Mixed,Level 1 (mild support),Low materials / small space,Low cost,Auditory
25,Cup Stacking (Fine Motor) - Practice bilateral coordination #213,Fine Motor,Moderate,Practice bilateral coordination,"bilateral coordination, hand-eye coordination","safe scissors, buttons, stickers",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Mixed,Level 3 (high support),Low materials / small space,Low cost,Kinesthetic
26,Shape Practice (Writing) - Practice writing simple #131,Writing,Moderate,Practice writing simple labels for pictures,"spacing, copying skills","glue, pom-poms",25,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Neutral,Level 3 (high support),Low materials / small space,Low cost,Kinesthetic
27,Follow Directions (Speech) - Support sound articulation #189,Speech,Challenging,Support sound articulation,"question answering, vocabulary","blocks, safe scissors",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Sensory-avoidant,Level 1 (mild support),Outdoor friendly,Low cost,Kinesthetic
28,Turn-Taking Game (Speech) - Improve expressive vocabulary #97,Speech,Easy,Improve expressive vocabulary,"listening, speech production","safe scissors, markers, notebook",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",3-4,Neutral,Level 2 (moderate support),Group setting possible,No cost,Auditory
29,Playdough Press (Fine Motor) - Improve finger strength #144,Fine Motor,Easy,Improve finger strength and control,"hand-eye coordination, grip strength","notebook, paper, coins",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Neutral,Level 1 (mild support),Group setting possible,Low cost,Kinesthetic
30,Picture Labeling (Writing) - Build sentence writing #67,Writing,Moderate,Build sentence writing using prompts,"letter formation, visual-motor integration","safe scissors, rubber bands",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",3-4,Mixed,Level 1 (mild support),Quiet environment,No cost,Kinesthetic
31,Texture Bin (Sensory) - Provide calming sensory #227,Sensory,Moderate,Provide calming sensory input,"body awareness, sensory modulation","plastic cups, small toys, string, clothespins",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",3-4,Mixed,Level 2 (moderate support),Quiet environment,No cost,Kinesthetic
32,Playdough Press (Fine Motor) - Develop inhand manipulation #238,Fine Motor,Moderate,Develop in-hand manipulation,"bilateral coordination, hand-eye coordination","coins, markers, buttons",25,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Mixed,Level 1 (mild support),Quiet environment,No cost,Mixed
33,Jump & Stop (Gross Motor) - Improve jumping and #145,Gross Motor,Moderate,Improve jumping and landing control,"core strength, coordination","string, playdough",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Sensory-seeking,Level 1 (mild support),Low materials / small space,No cost,Mixed
34,Picture Labeling (Writing) - Support idea organization #220,Writing,Moderate,Support idea organization in writing,"letter formation, spacing","pom-poms, safe scissors, rice or beans in a container, playdough",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",3-4,Neutral,Level 2 (moderate support),Outdoor friendly,No cost,Visual
35,Sentence Starters (Writing) - Practice tracing shapes #53,Writing,Easy,Practice tracing shapes and letters,"sentence building, fine motor precision","string, spoon, soft toys",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,Low cost,Visual
36,Turn-Taking Game (Speech) - Build social greeting #7,Speech,Moderate,Build social greeting skills,"question answering, listening","plastic cups, blocks",10,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Sensory-avoidant,Level 1 (mild support),Group setting possible,Low cost,Mixed
37,Pinch & Place (Fine Motor) - Develop inhand manipulation #97,Fine Motor,Moderate,Develop in-hand manipulation,"tool use, dexterity","flashcards, rubber bands",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",4-6,Mixed,Level 1 (mild support),Quiet environment,Medium cost,Visual
38,Texture Bin (Sensory) - Help with selfregulation #83,Sensory,Challenging,Help with self-regulation,"body awareness, tactile tolerance","stickers, plastic cups",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",6-8,Mixed,Level 1 (mild support),Quiet environment,No cost,Kinesthetic
39,Texture Bin (Sensory) - Practice deep pressure #57,Sensory,Moderate,Practice deep pressure calming routine,"sensory modulation, self-regulation","zipper pouch, pencil",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",3-4,Sensory-avoidant,Level 2 (moderate support),Quiet environment,Low cost,Mixed
40,Texture Bin (Sensory) - Improve tolerance to #164,Sensory,Moderate,Improve tolerance to textures,"self-regulation, proprioception","pom-poms, pillow, ball, blocks",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-seeking,Level 1 (mild support),Quiet environment,No cost,Kinesthetic
41,Guided Journal (Writing) - Practice tracing shapes #229,Writing,Easy,Practice tracing shapes and letters,"sentence building, visual-motor integration","clothespins, picture cards, playdough, safe scissors",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Sensory-avoidant,Level 3 (high support),Outdoor friendly,No cost,Mixed
42,Dance Freeze (Gross Motor) - Encourage wholebody movement #111,Gross Motor,Moderate,Encourage whole-body movement,"balance, endurance","pillow, playdough, safe scissors, soft toys",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Sensory-seeking,Level 1 (mild support),Group setting possible,Low cost,Mixed
43,Picture Labeling (Writing) - Improve spacing and #71,Writing,Moderate,Improve spacing and line awareness,"spacing, fine motor precision","notebook, ball, small toys, glue",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Sensory-avoidant,Level 1 (mild support),Quiet environment,No cost,Mixed
44,Playdough Press (Fine Motor) - Improve writing readiness #95,Fine Motor,Moderate,Improve writing readiness,"bilateral coordination, tool use","spoon, rice or beans in a container, ball, buttons",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",10-12,Sensory-avoidant,Level 1 (mild support),Group setting possible,Low cost,Auditory
45,Animal Walks (Gross Motor) - Develop motor planning #186,Gross Motor,Easy,Develop motor planning,"inhibition control, motor planning","flashcards, ball",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Mixed,Level 2 (moderate support),Low materials / small space,No cost,Auditory
46,Trace & Copy (Writing) - Practice copying from #170,Writing,Easy,Practice copying from a model,"spacing, sentence building","pom-poms, notebook",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Sensory-avoidant,Level 1 (mild support),Outdoor friendly,Low cost,Visual
47,WH-Question Quiz (Speech) - Practice labeling emotions #77,Speech,Challenging,Practice labeling emotions with words,"speech production, vocabulary","buttons, clothespins, paper, crayons",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Neutral,Level 2 (moderate support),Outdoor friendly,No cost,Auditory
48,Follow Directions (Speech) - Practice labeling emotions #145,Speech,Moderate,Practice labeling emotions with words,"speech production, social communication","coins, crayons, pillow",10,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",8-10,Mixed,Level 2 (moderate support),Group setting possible,Low cost,Kinesthetic
49,Calm Corner (Sensory) - Support transition to #210,Sensory,Challenging,Support transition to new activities,"proprioception, transitioning","crayons, string",25,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-avoidant,Level 1 (mild support),Quiet environment,No cost,Visual
50,Heavy Work (Sensory) - Help with selfregulation #110,Sensory,Easy,Help with self-regulation,"self-regulation, tactile tolerance","clothespins, flashcards, crayons, markers",25,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,Medium cost,Visual
51,Follow Directions (Speech) - Encourage turntaking in #197,Speech,Easy,Encourage turn-taking in conversation,"vocabulary, speech production","glue, picture cards, flashcards, soft toys",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Neutral,Level 1 (mild support),Low materials / small space,No cost,Kinesthetic
52,Ball Toss (Gross Motor) - Build stamina with #222,Gross Motor,Moderate,Build stamina with short routines,"coordination, motor planning","clothespins, paper, crayons, picture cards",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",3-4,Neutral,Level 1 (mild support),Outdoor friendly,Low cost,Kinesthetic
53,Sentence Starters (Writing) - Support idea organization #201,Writing,Easy,Support idea organization in writing,"fine motor precision, sentence building","crayons, pom-poms, small toys, soft toys",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",3-4,Neutral,Level 1 (mild support),Quiet environment,Low cost,Mixed
54,Picture Naming (Speech) - Practice answering WHquestions #55,Speech,Easy,Practice answering WH-questions,"question answering, listening","notebook, pencil, tape on floor",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Neutral,Level 3 (high support),Quiet environment,Low cost,Visual
55,Pinch & Place (Fine Motor) - Improve finger strength #212,Fine Motor,Moderate,Improve finger strength and control,"finger isolation, dexterity","tape on floor, pencil, glue",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",3-4,Neutral,Level 1 (mild support),Quiet environment,Medium cost,Mixed
56,Dance Freeze (Gross Motor) - Improve leftright awareness #188,Gross Motor,Easy,Improve left-right awareness,"coordination, motor planning","markers, crayons, rubber bands, soft toys",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Sensory-seeking,Level 2 (moderate support),Outdoor friendly,No cost,Auditory
57,Guided Journal (Writing) - Develop letter formation #87,Writing,Easy,Develop letter formation,"fine motor precision, spacing","stickers, clothespins",25,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Mixed,Level 1 (mild support),Group setting possible,No cost,Visual
58,Shape Practice (Writing) - Practice copying from #224,Writing,Easy,Practice copying from a model,"visual-motor integration, copying skills","rubber bands, flashcards, picture cards, ball",25,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Sensory-avoidant,Level 2 (moderate support),Group setting possible,No cost,Kinesthetic
59,Cup Stacking (Fine Motor) - Develop inhand manipulation #64,Fine Motor,Easy,Develop in-hand manipulation,"hand-eye coordination, grip strength","clothespins, pencil, soft toys",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",3-4,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,Low cost,Visual
60,Shape Practice (Writing) - Practice copying from #132,Writing,Moderate,Practice copying from a model,"fine motor precision, visual-motor integration","crayons, soft toys",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Neutral,Level 2 (moderate support),Quiet environment,No cost,Mixed
61,Emotion Words (Speech) - Support sound articulation #71,Speech,Moderate,Support sound articulation,"speech production, turn-taking","glue, soft toys, ball",10,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Mixed,Level 2 (moderate support),Quiet environment,Low cost,Kinesthetic
62,Heavy Work (Sensory) - Reduce restlessness using #169,Sensory,Easy,Reduce restlessness using movement breaks,"self-regulation, tactile tolerance","blocks, soft toys",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Sensory-seeking,Level 3 (high support),Low materials / small space,No cost,Kinesthetic
63,Balance Line (Gross Motor) - Build stamina with #209,Gross Motor,Easy,Build stamina with short routines,"core strength, motor planning","zipper pouch, spoon, rice or beans in a container, stickers",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Neutral,Level 1 (mild support),Low materials / small space,Medium cost,Kinesthetic
64,Pinch & Place (Fine Motor) - Practice bilateral coordination #120,Fine Motor,Easy,Practice bilateral coordination,"finger isolation, bilateral coordination","glue, ball, paper",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Mixed,Level 2 (moderate support),Outdoor friendly,Medium cost,Kinesthetic
65,Emotion Words (Speech) - Improve expressive vocabulary #101,Speech,Moderate,Improve expressive vocabulary,"question answering, turn-taking","blocks, clothespins, picture cards, ball",10,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Neutral,Level 2 (moderate support),Low materials / small space,No cost,Auditory
66,Balance Line (Gross Motor) - Improve jumping and #166,Gross Motor,Moderate,Improve jumping and landing control,"core strength, endurance","glue, blocks, buttons",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Mixed,Level 2 (moderate support),Group setting possible,No cost,Mixed
67,Obstacle Course (Gross Motor) - Improve leftright awareness #15,Gross Motor,Moderate,Improve left-right awareness,"core strength, coordination","playdough, notebook",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Sensory-seeking,Level 1 (mild support),Group setting possible,Low cost,Kinesthetic
